segment_id,speaker,video_id,start,end,text,toxicity_true
ben_shapiro_9tBJ87oJgqg_0323,ben_shapiro,9tBJ87oJgqg,41.04,85.2,"on over to dailywire.com/subscribe. Well, folks, at long last, over well over a month, it appears that we are now nearing the end of the beginning of the end of the government shutdown because last night, Democrats in the Senate caved. They gave their approval 6040 vote to moving forward with a procedural vote, which would move toward the end of the government shutdown. And make no mistake, Democrats lost. President Trump wins. The Republicans win. Democrats themselves know that they lost. Now, they did get a win out of this. The win that they got was by showing that they are resistant to President Trump's agenda. They did better than they might otherwise have in places like Virginia or Georgia or Mississippi or New Jersey or even in New York. In other words,",
ben_shapiro_-v01asSN2gU_0732,ben_shapiro,-v01asSN2gU,2521.44,2565.04,"in didn't he? Because the first time we saw him in 2016 I remember watching him in the debates going this guy's a comedian because the entire purpose of a comedian really is to be disruptive. It's to disrupt the status quo and that's very much what what Trump did. >> I think for sure and and I think that that was the problem that many of us who were sort of traditionally in politics had with President Trump during his first presidential run and then he got to be president and you know you got to see what he did when he was actually president. And so what I used to say during his first term is, well, now that he's president, I can judge him based on the thing that he's doing, not just the thing that he's saying. And I think most Americans came to that conclusion, right? So now at the beginning of his presidency, do you remember how every evening news broadcast started with a Trump tweet? Like every single one. It's like, he tweeted this today and I just can't believe he tweeted this today. And within about six months, everybody's",
ben_shapiro_PGtFTXj6kZc_0056,ben_shapiro,PGtFTXj6kZc,2334.24,2378.88,"globalize the inifat that is a violent call. Okay. Inifat is a violent uprising. Calling to globalize the inifata in New York means go kill people in New York. That's what that means. So why were they outside a synagogue yelling? I mean by by the way they're also chanting resistance. You make us proud. Take another settler out. They consider every Jew in Israel to be a settler. I don't know how else to describe that other than Jew hatred. I mean that's what that is. They were literally outside a synagogue in New York. What were they protesting? There's a group called Nephesh Benefesh in Israel that facilitates for people who want to move to Israel. If you're in England, America, wherever, they help facilitate your move to Israel. So, how did Zor Mani respond to the anti-semitism?",
ben_shapiro_-v01asSN2gU_0693,ben_shapiro,-v01asSN2gU,884.079,926.0,exploded last week in particular over the fact that Tucker Carlson had this white nationalist called Nick Fuentes on a show. Uh and then there is a big debate now going on in which you're one of the participants about whether the right should turn a blind eye to the fact that its fringe is in becoming increasingly Naziish or whether there's a break that needs to be made to prevent what happened on the woke left or rather because of the woke left on the left where the extremists took over wore the skin of the entire thing and then were punished very severely electorally over a period of time. uh give us your perspective on on that. >> Sure. I mean I I've been arguing against,
ben_shapiro_ch1qmDW4A04_0485,ben_shapiro,ch1qmDW4A04,3344.8,3388.7200000000003,"experiencing. Now, President Trump as a piece of leverage, it's unclear whether he means this sincerely or whether he's trying to use this as a piece of leverage. He is saying Democrats are showing zero interest in reopening. This part is true. >> So, as you know, we are in the midst of a disastrous Democrat created government shutdown. And it is Democrat created, but I don't think they're getting really the blame that they should. That's now officially the longest shutdown in American history. the uh Democrat radicals in the Senate have shown zero interest in reopening the government. >> Okay. And um of course he's right. But then he says, ""Actually, let's nuke the filibuster."" So the filibuster is what Democrats are using in order to stop the",
ben_shapiro_M1A2BO4tkhE_0807,ben_shapiro,M1A2BO4tkhE,2609.92,2653.599,"evidentiarily that Mara Lago was like a center of human trafficking on behalf of Jeffrey Epstein. >> The reality is that every time we get a new batch of documents, there are a lot more questions and in my opinion, signs point back to the White House. When you think about Epstein, his sex trafficking ring, Galain Maxwell, all of this happened in New York, it happened in South Florida, it happened at Mara Lago, they ran in the same circles. So, um, you know, a little much, a little much. And you can see now who's pushing this, right? Democrats who wish to smear President Trump with Jeffrey Epstein and some Republicans who wish to smear President Trump with Jeffrey Epstein, mainly because they don't like a lot of Trump's policies and are trying",
ben_shapiro_MrpKVHd_1No_1060,ben_shapiro,MrpKVHd_1No,2006.96,2050.56,"generally without an H-1B visa through other forms of legal immigration as students. And the reality is that maybe our screening procedures should be different, but we need to see specifics on what the screening procedures you're applying are that would allow for there to be, for example, an Elon Musk American citizen creating tens of thousands of jobs or the head of Google, Senator Pinchi, creating tens of thousands of jobs or the head of Microsoft, Satia Nadella, creating tens of thousands of jobs. Now, you can say that maybe if those people didn't exist, there would be an American who just did that job. But that is now living in the realm of of theory. It's now living in the realm of reality. Brain draining other countries is also a",
ben_shapiro_PGtFTXj6kZc_0086,ben_shapiro,PGtFTXj6kZc,3581.68,3625.52,"seat, and the guy behind her just horrifically slit her throat and killed her. That guy had been arrested, D Carlos Brown Jr. 14 times and released 14 times under Roy Cooper soft on crime policies. You know, it is it is so prevalent. We actually on the campaign started a digital campaign called Mugshot Mondays. And every week we highlight somebody who's been arrested and released 50 times or more in North Carolina, that that's absolutely unacceptable. And so when we think about what are the issue sets that really are going to matter in a place like Charlotte, in a place like Raleigh, in a place like Wilmington, North Carolina, in our rural areas, our our our urban areas, um it's going to come down to",
ben_shapiro_OaRJlL5mOF8_0218,ben_shapiro,OaRJlL5mOF8,1623.44,1668.4,"feel nothing because they were themselves, many of them raped when they were children. It is not a coincidence that Justin Trudeau is gay. at Obama gay, Zalinski gay, Emanuel Mcronone gay and married to a trans man who molested him when he was a child. >> While Candace Owens had recently hosted Nick Fentes and this led Tucker Carlson in an attempt to dissociate from Fentes to label him a weird little gay kid operating from a basement and a fed as well. >> That's obvious to me. I've been around a long time. I know when I see it. >> Yeah. And I will say I I don't understand it. We were very kind to him. Like I truly like we almost said like we felt maybe he was a bit lonely. We should invite him back for dinner. You I mean that's how good of an experience I had and >> clearly",
ben_shapiro_HkYB_pZjPEM_0877,ben_shapiro,HkYB_pZjPEM,2092.72,2137.599,"are two things he can do on immigration. One thing is he could take the unskilled immigrants who are here illegally and he could deport a lot of them. This would presumably be less of a drain on public resources. It would also presumably increase wages at the bottom levels. Now, that comes along with the increased prices of the things that those wages are used for. However, the the vice president has pointed out that it would take some pressure off of housing. That's probably true at least in the short term. He so so that's one aspect of immigration. And then the other aspect is you do need to bring in skilled immigrants. I know this has somehow become a very very controversial matter on the political right. There's big debate over H-1B visas. We've talked about the flaws in the H1B visa program which are quite real. people abusing it,",
